,Countries,Total Cases,Todays Deaths,Total Recovered
161,Tanzania,509,21,183
162,Angola,462,23,118
163,Taiwan,451,7,438
164,Syria,394,16,126
165,Vietnam,370,,350
166,Mauritius,342,10,330
167,Isle of Man,336,24,312
168,Myanmar,330,6,260
169,Comoros,317,7,296
170,Botswana,314,1,31
171,Guyana,291,17,148
172,Martinique,255,15,98
173,Eritrea,232,,107
174,Mongolia,230,,202
175,Cayman Islands,201,1,197
176,Burundi,191,1,118
177,Guadeloupe,190,14,157
178,Faeroe Islands,188,,188
179,Lesotho,184,1,26
180,Gibraltar,180,,176
181,Cambodia,156,,133
182,Bermuda,150,9,137
183,Brunei,141,3,138
184,Trinidad and Tobago,133,8,120
185,Bahamas,111,11,89
186,Monaco,109,4,96
187,Aruba,105,3,99
188,Barbados,103,7,90
189,Seychelles,100,,11
190,Liechtenstein,84,1,81
191,Bhutan,82,,76
192,Sint Maarten,78,15,63
193,Antigua and Barbuda,74,3,57
194,Turks and Caicos,71,2,11
195,Gambia,64,3,34
196,French Polynesia,62,,60
197,Macao,46,,45
198,Saint Martin,43,3,37
199,Belize,37,2,20
200,St. Vincent Grenadines,29,,29
201,Fiji,26,,18
202,Curaçao,25,1,24
203,Timor-Leste,24,,24
204,Grenada,23,,23
205,Saint Lucia,22,,19
206,New Caledonia,21,,21
207,Laos,19,,19
208,Dominica,18,,18
209,Saint Kitts and Nevis,17,,15
210,Falkland Islands,13,,13
211,Greenland,13,,13
212,Montserrat,12,1,10
213,Vatican City,12,,12
214,Papua New Guinea,11,,8
215,Western Sahara,10,1,8
216,MS Zaandam,9,2,
217,British Virgin Islands,8,1,7
218,Caribbean Netherlands,7,,7
219,St. Barth,6,,6
220,Anguilla,3,,3
221,Saint Pierre Miquelon,2,,1
222,China,"83,594","4,634","78,634"
